Country or Dependency,Population (2020),Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age
China,1440297825,5540090,153,9388211,-348399,1.7,38
India,1382345085,13586631,464,2973190,-532687,2.2,28
United States,331341050,1937734,36,9147420,954806,1.8,38
Indonesia,274021604,2898047,151,1811570,-98955,2.3,30
Pakistan,221612785,4327022,287,770880,-233379,3.6,23
Brazil,212821986,1509890,25,8358140,21200,1.7,33
Nigeria,206984347,5175990,226,910770,-60000,5.4,18
Bangladesh,164972348,1643222,1265,130170,-369501,2.1,28
Russia,145945524,62206,9,16376870,182456,1.8,40
Mexico,129166028,1357224,66,1943950,-60000,2.1,29
Japan,126407422,-383840,347,364555,71560,1.4,48
Ethiopia,115434444,2884858,115,1000000,30000,4.3,19
Philippines,109830324,1464463,368,298170,-67152,2.6,26
Egypt,102659126,1946331,103,995450,-38033,3.3,25
Vietnam,97490013,876473,314,310070,-80000,2.1,32
DR Congo,90003954,2770836,40,2267050,23861,6,17
Turkey,84495243,909452,110,769630,283922,2.1,32
Iran,84176929,1079043,52,1628550,-55000,2.2,32
Germany,83830972,266897,240,348560,543822,1.6,46
Thailand,69830779,174396,137,510890,19444,1.5,40
United Kingdom,67948282,355839,281,241930,260650,1.8,40
France,65298930,143783,119,547557,36527,1.9,42
Italy,60446035,-88249,206,294140,148943,1.3,47
Tanzania,60012400,1728755,67,885800,-40076,4.9,18
South Africa,59436725,750420,49,1213090,145405,2.4,28
Myanmar,54473253,364380,83,653290,-163313,2.2,29
Kenya,53968739,1197323,94,569140,-10000,3.5,20
